Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Merrit Island,2026-01-08 11:45:49,2026-01-08 11:56:42,10.9,27.8
Ponce de Leon,2026-01-08 11:45:57,2026-01-08 11:56:52,10.9,28.3
White Sands,2026-01-08 11:48:31,2026-01-08 11:59:00,10.5,25.1
Wallops,2026-01-08 11:49:19,2026-01-08 11:58:19,9.0,15.4
Gilmore Creek,2026-01-08 11:59:58,2026-01-08 12:09:54,9.9,20.7
North Pole,2026-01-08 11:59:59,2026-01-08 12:09:52,9.9,20.3
Alaska Satellite Facility,2026-01-08 12:00:01,2026-01-08 12:09:53,9.9,20.3
Svalbard,2026-01-08 12:06:48,2026-01-08 12:12:44,5.9,8.3
Singapore,2026-01-08 12:30:02,2026-01-08 12:33:53,3.9,6.4
Troll,2026-01-08 12:51:37,2026-01-08 13:02:53,11.3,31.9
McMurdo,2026-01-08 12:56:07,2026-01-08 13:01:18,5.2,7.3
White Sands,2026-01-08 13:26:47,2026-01-08 13:37:46,11.0,28.9
North Pole,2026-01-08 13:36:53,2026-01-08 13:48:37,11.7,47.3
Gilmore Creek,2026-01-08 13:36:54,2026-01-08 13:48:39,11.8,48.2
Alaska Satellite Facility,2026-01-08 13:36:55,2026-01-08 13:48:38,11.7,47.1
Svalbard,2026-01-08 13:46:53,2026-01-08 13:55:01,8.1,12.3
Hartebeesthoek,2026-01-08 14:19:58,2026-01-08 14:25:15,5.3,7.8
Troll,2026-01-08 14:29:19,2026-01-08 14:41:15,11.9,48.4
McMurdo,2026-01-08 14:36:50,2026-01-08 14:43:28,6.6,9.1
South Point,2026-01-08 15:05:24,2026-01-08 15:14:28,9.1,16.3
