Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X61,2025-12-25 06:46:37,2025-12-25 06:52:18,341.3,40.0
ICEYE-X58,2025-12-25 06:47:57,2025-12-25 06:53:39,341.7,40.0
ICEYE-X59,2025-12-25 06:52:46,2025-12-25 06:58:29,342.9,40.0
ICEYE-X62,2025-12-25 06:53:08,2025-12-25 06:58:51,342.9,40.0
ICEYE-X35,2025-12-25 06:57:54,2025-12-25 07:03:25,330.8,40.0
ICEYE-X60,2025-12-25 06:58:39,2025-12-25 07:04:24,344.5,40.0
ICEYE-X51,2025-12-25 07:04:38,2025-12-25 07:07:58,200.0,42.1
ICEYE-X21,2025-12-25 07:14:46,2025-12-25 07:20:22,335.6,40.0
ICEYE-X14,2025-12-25 07:16:20,2025-12-25 07:21:39,318.1,40.0
ICEYE-X2,2025-12-25 07:19:10,2025-12-25 07:25:47,397.3,40.0
