Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2025-12-28 00:48:03,2025-12-28 03:16:35,2h 28m 32s,Svalbard,Punta Arenas
UMBRA-09,2025-12-28 00:48:41,2025-12-28 03:17:12,2h 28m 31s,Svalbard,Punta Arenas
UMBRA-10,2025-12-27 00:58:10,2025-12-27 03:26:33,2h 28m 22s,Svalbard,Punta Arenas
UMBRA-09,2025-12-27 00:58:48,2025-12-27 03:27:10,2h 28m 21s,Svalbard,Punta Arenas
UMBRA-10,2025-12-26 01:08:15,2025-12-26 03:36:30,2h 28m 15s,Svalbard,Punta Arenas
UMBRA-09,2025-12-26 01:08:54,2025-12-26 03:37:08,2h 28m 14s,Svalbard,Punta Arenas
UMBRA-07,2025-12-26 23:48:38,2025-12-27 01:22:22,1h 33m 44s,Svalbard,Svalbard
UMBRA-07,2025-12-27 23:44:33,2025-12-28 01:18:04,1h 33m 31s,Svalbard,Svalbard
UMBRA-07,2025-12-28 23:40:26,2025-12-29 01:13:46,1h 33m 19s,Svalbard,Svalbard
UMBRA-07,2025-12-29 23:36:18,2025-12-30 01:09:27,1h 33m 8s,Svalbard,Svalbard
